SMILES,R(x),is_valid,traj_log_p_B,traj_log_p_F,log_Z,clip_log_R,subtb_losses,tb_losses,alcoholic,aldehydic,alliaceous,almond,amber,animal,anisic,apple,apricot,aromatic,balsamic,banana,beefy,bergamot,berry,bitter,black currant,brandy,burnt,buttery,cabbage,camphoreous,caramellic,cedar,celery,chamomile,cheesy,cherry,chocolate,cinnamon,citrus,clean,clove,cocoa,coconut,coffee,cognac,cooked,cooling,cortex,coumarinic,creamy,cucumber,dairy,dry,earthy,ethereal,fatty,fermented,fishy,floral,fresh,fruit skin,fruity,garlic,gassy,geranium,grape,grapefruit,grassy,green,hawthorn,hay,hazelnut,herbal,honey,hyacinth,jasmin,juicy,ketonic,lactonic,lavender,leafy,leathery,lemon,lily,malty,meaty,medicinal,melon,metallic,milky,mint,muguet,mushroom,musk,musty,natural,nutty,odorless,oily,onion,orange,orangeflower,orris,ozone,peach,pear,phenolic,pine,pineapple,plum,popcorn,potato,powdery,pungent,radish,raspberry,ripe,roasted,rose,rummy,sandalwood,savory,sharp,smoky,soapy,solvent,sour,spicy,strawberry,sulfurous,sweaty,sweet,tea,terpenic,tobacco,tomato,tropical,vanilla,vegetable,vetiver,violet,warm,waxy,weedy,winey,woody,has_db_match
C1=C2COC(O1)OC13OC4=C5OC41CC1C=C4C(C21)C453,0.0,False,-60.445663,-100.26344,1.4836949,-75.0,90.00604,36.665916,0.012352401,0.055878673,0.036958955,0.043830626,0.39295262,0.70138186,0.09336405,0.030248825,0.049033836,0.10690354,0.15653446,0.03436615,0.06529515,0.04073589,0.0928512,0.03924869,0.05172929,0.069935545,0.10209622,0.107167356,0.05911693,0.15684472,0.165841,0.08659655,0.14900933,0.011331594,0.08522748,0.040272716,0.04216634,0.07190092,0.028030505,0.17020378,0.06842131,0.04529708,0.30172187,0.07125596,0.024020374,0.043107722,0.084510885,0.044149816,0.38387263,0.12974142,0.01105948,0.08644744,0.24815789,0.23043469,0.07741616,0.19869423,0.08966803,0.103400886,0.2313115,0.086089365,0.03552305,0.36573023,0.05957731,0.062422648,0.051194586,0.021341136,0.02652824,0.039228223,0.126094,0.023890965,0.12316155,0.040280864,0.16217089,0.11346943,0.03956961,0.089636676,0.007758293,0.14580472,0.17914942,0.03813094,0.033816878,0.05671474,0.028849095,0.011725903,0.015559417,0.07237889,0.07547334,0.025720662,0.09640954,0.10328715,0.16276096,0.012317141,0.14253527,0.7206481,0.18827553,0.14772242,0.27125683,0.041710768,0.24083255,0.028343404,0.035045065,0.07200676,0.10761551,0.031248096,0.08041609,0.028442753,0.081088014,0.04351277,0.046662524,0.0765566,0.0888278,0.031201152,0.39538684,0.06101861,0.09345186,0.06503542,0.055614393,0.23561388,0.036360037,0.01987725,0.09503453,0.08023274,0.074864425,0.038814314,0.11416382,0.1757603,0.068718046,0.15305308,0.04639718,0.075222865,0.03923979,0.55963856,0.09973818,0.03882492,0.33595416,0.034982253,0.057293072,0.049311463,0.036590826,0.1040431,0.0698868,0.17606704,0.15482742,0.062031433,0.04108949,0.39860174,False
CCCC1OCOC23CC4=C5C6=C(O6)C(C)=C2CC5C413,0.0,False,-52.060856,-92.78763,1.4836949,-75.0,86.68777,35.75692,0.03990576,0.10400938,0.072292335,0.10653168,0.26410615,0.4989369,0.124164954,0.06023279,0.08764876,0.18698363,0.1877489,0.064798914,0.091663405,0.07357716,0.1730484,0.08612316,0.11760373,0.06517943,0.2090313,0.17162555,0.07386547,0.25065786,0.34071615,0.11240059,0.21162054,0.043779887,0.119439654,0.066831805,0.12864725,0.1004603,0.10074241,0.17583714,0.10814624,0.13999951,0.31560057,0.16276737,0.03871759,0.095759965,0.1815305,0.11437148,0.3593591,0.2360905,0.029202636,0.15809962,0.22434554,0.30651176,0.14169544,0.20332038,0.110586055,0.117697924,0.28019133,0.18943201,0.08087195,0.42684764,0.074019425,0.06462244,0.09956115,0.074961595,0.098643504,0.08352313,0.22404833,0.07976481,0.17134021,0.11561446,0.2614742,0.13863896,0.07829162,0.14216365,0.034795277,0.17204669,0.27492145,0.06912811,0.0868032,0.15441567,0.07034508,0.06424518,0.050837092,0.17357697,0.13456048,0.07292017,0.13940361,0.17839336,0.32077813,0.060798462,0.10327271,0.492807,0.26903877,0.18160185,0.384435,0.069553144,0.20458435,0.062603325,0.06446398,0.09809965,0.15165865,0.06564879,0.14662065,0.034903985,0.15418227,0.083453044,0.09758124,0.09844291,0.14314158,0.09058858,0.29254273,0.10541435,0.09935508,0.13584049,0.08828655,0.38871014,0.11016868,0.058583744,0.09117479,0.16698076,0.10677013,0.12111321,0.09129239,0.20186847,0.090450555,0.21541433,0.101535276,0.11758478,0.068791844,0.5445396,0.16181573,0.07232929,0.37600207,0.07460531,0.13760707,0.13117677,0.11747856,0.11823419,0.09019278,0.16525753,0.14803591,0.103878126,0.080380306,0.41778508,False
CCC(C)COC,0.6554304,True,-5.3752785,-14.492501,1.4836949,-0.4224632,10.728934,-7.2110643,0.621728,0.09326394,0.14171961,0.16203952,0.07217379,0.12539393,0.13945162,0.28802308,0.115676984,0.2031731,0.10964753,0.19394246,0.113531716,0.061506342,0.23855557,0.13284001,0.14117551,0.17604437,0.17661244,0.3047527,0.09950098,0.14884171,0.17814834,0.060748924,0.093182236,0.101243444,0.2952255,0.13481268,0.23850885,0.07629918,0.15961196,0.10294019,0.082769334,0.34712586,0.10853262,0.12024189,0.4046362,0.11900258,0.1348144,0.18673432,0.06369807,0.23845749,0.034632377,0.23975806,0.13046888,0.2799236,0.657535,0.2381663,0.5494002,0.181404,0.22278081,0.28550252,0.12670457,0.58208025,0.070603564,0.12410849,0.071235135,0.26649198,0.11103225,0.121013954,0.40051082,0.087370075,0.10515279,0.089598686,0.29222494,0.08502033,0.08858827,0.09678591,0.13250734,0.11689671,0.10556927,0.053499278,0.13438044,0.08646545,0.04962443,0.11541143,0.31418708,0.18681699,0.104626544,0.12711148,0.12906167,0.15473296,0.15520884,0.053968944,0.13545185,0.08833046,0.38963732,0.116474696,0.28912634,0.15909676,0.38168627,0.09507049,0.11983419,0.07463692,0.09410391,0.07126192,0.13127011,0.09815903,0.18927626,0.06986491,0.19807813,0.1073313,0.078668095,0.10498746,0.10794887,0.44310182,0.11260817,0.0945827,0.25159845,0.17562924,0.13538797,0.2531997,0.06772115,0.15397568,0.31286404,0.109801985,0.07596671,0.39936513,0.22406298,0.22113001,0.16174424,0.15937956,0.17524673,0.5647837,0.062675804,0.038427297,0.1081366,0.114912435,0.1992919,0.1783203,0.24458845,0.05790517,0.06074435,0.16720103,0.12829661,0.11178309,0.41033655,0.242018,True
CC=CC(C)=O,0.0,False,-7.049255,-14.927461,1.4836949,-75.0,943.2362,68.60549,0.17023827,0.14227729,0.135435,0.33064142,0.1287364,0.23502336,0.34894648,0.28900462,0.17881933,0.34243557,0.4105733,0.2763252,0.09195137,0.11927922,0.425517,0.27394554,0.10971844,0.16638166,0.3854033,0.3332436,0.13495988,0.15780203,0.509129,0.1250425,0.14288212,0.24556191,0.20478529,0.39074138,0.29996493,0.3192479,0.17537664,0.13820966,0.25118062,0.26203355,0.22985616,0.20305528,0.1291799,0.17085738,0.14705288,0.23636498,0.2960604,0.35500032,0.053980473,0.22630975,0.24995266,0.30430385,0.428061,0.23720331,0.21979637,0.1027991,0.45020545,0.27577844,0.17274113,0.67995495,0.0709424,0.15503655,0.14532201,0.33919388,0.10132266,0.17233092,0.42764363,0.30897942,0.31235707,0.14076297,0.41218787,0.31307232,0.12732644,0.20264465,0.11792037,0.2057188,0.15119012,0.13685255,0.18165183,0.13153245,0.07320399,0.13861111,0.19883496,0.11729866,0.25765362,0.18285953,0.23570246,0.20922315,0.18667029,0.051545165,0.17071253,0.14773692,0.3491234,0.15203796,0.42228797,0.12744065,0.19526118,0.052752655,0.19748771,0.17985046,0.13790685,0.12530331,0.19272688,0.18042603,0.34414577,0.09502968,0.32895017,0.24021578,0.13141693,0.08915049,0.32026657,0.47631326,0.20045881,0.21720801,0.2204034,0.2089643,0.17536673,0.3309873,0.07244485,0.13431536,0.33572572,0.16149573,0.1142834,0.18457586,0.26872405,0.53555477,0.3661479,0.08839663,0.15325496,0.70803154,0.2398942,0.09928649,0.25727615,0.10922182,0.28105342,0.39820117,0.2076562,0.123532474,0.12191261,0.36143866,0.15632431,0.14721057,0.34503183,0.4087093,True
CCC(=C=O)OC,0.0,False,-8.030085,-18.719507,1.4836949,-75.0,800.88275,65.794266,0.1588738,0.11694267,0.102689296,0.27029026,0.08289653,0.17497791,0.20889632,0.19916105,0.12291271,0.23966597,0.25718275,0.18937401,0.070250295,0.0762699,0.33152264,0.20263478,0.09002611,0.16135277,0.3390671,0.42458907,0.10996975,0.12930436,0.56133294,0.06921331,0.11608408,0.18416463,0.23658925,0.32056943,0.2503594,0.21980307,0.15296406,0.12043471,0.1781089,0.2126766,0.19986492,0.17982168,0.11981718,0.1477531,0.12059345,0.15099517,0.25185642,0.35486,0.03742227,0.29836112,0.2069533,0.2590904,0.39109585,0.28935277,0.19368927,0.09968026,0.31433737,0.24052915,0.16934209,0.62150306,0.047300283,0.13097632,0.0946448,0.26247218,0.084006414,0.124066114,0.31996125,0.1775455,0.23442218,0.13584805,0.31501046,0.23835796,0.07129761,0.16818841,0.10543158,0.17311555,0.15436135,0.074075244,0.100104906,0.10433901,0.04628363,0.094990626,0.16759367,0.118781015,0.18386284,0.1343967,0.18247797,0.2811013,0.1808665,0.036811143,0.12420805,0.1129412,0.29320857,0.121852405,0.37011933,0.22715455,0.18101454,0.04974399,0.12582149,0.12468892,0.09294428,0.081381336,0.1518984,0.115783,0.2804402,0.056673232,0.2439038,0.1691308,0.112385474,0.093011975,0.23548649,0.36619782,0.1438442,0.17564358,0.16042261,0.20763308,0.120434366,0.3254008,0.050259806,0.13752948,0.32077318,0.09957025,0.093802676,0.1606537,0.3038036,0.36714312,0.29088303,0.09443567,0.17119049,0.62284267,0.1600535,0.0572631,0.20625286,0.093234405,0.23865889,0.29599527,0.16186193,0.09060303,0.08297504,0.2521818,0.13778108,0.106642224,0.33344215,0.28851905,True
CCCCCOC(O)(O)CC,0.0,False,-9.534162,-22.480707,1.4836949,-75.0,649.8259,63.53715,0.23465562,0.048969727,0.19642524,0.08820895,0.042072255,0.123875774,0.0804748,0.11661089,0.10581154,0.1056932,0.07327642,0.083244495,0.12632842,0.040334307,0.15380876,0.11021129,0.17757408,0.11100307,0.1766747,0.24300456,0.1518038,0.08060372,0.19222638,0.039041825,0.084955774,0.062880576,0.3851224,0.069482036,0.16337843,0.03976598,0.12431802,0.10094843,0.053890437,0.18403448,0.08734134,0.16188437,0.15863052,0.21273696,0.11403774,0.08710534,0.054930087,0.26096982,0.025538998,0.26639622,0.113045365,0.20767948,0.267365,0.25641876,0.30714303,0.1399387,0.17224042,0.23526397,0.12652813,0.5795681,0.12682848,0.113403186,0.0361003,0.21111706,0.14804485,0.08760904,0.2956358,0.05203567,0.066500954,0.078521624,0.18684806,0.06713462,0.03724446,0.0893802,0.11016526,0.087612845,0.10297923,0.032677747,0.0666323,0.05460907,0.036864962,0.048102327,0.11906061,0.39786994,0.06822714,0.06824364,0.14887846,0.24307397,0.14166804,0.030355552,0.124705516,0.08739584,0.24329482,0.08193562,0.19387363,0.20175143,0.26283106,0.20064539,0.0800007,0.04575066,0.07046103,0.046794366,0.16123745,0.06732157,0.1287195,0.047487404,0.18459944,0.08639942,0.057196252,0.17662789,0.071145214,0.30989814,0.15068589,0.08089989,0.21407759,0.28348905,0.08083745,0.13947588,0.037602533,0.28286204,0.22398052,0.08391531,0.07260204,0.21609631,0.20290351,0.15791002,0.15129799,0.44261128,0.17729345,0.49727243,0.051171407,0.024511239,0.07001575,0.14098029,0.35549426,0.104601726,0.24402872,0.05038108,0.044549875,0.08360732,0.12493956,0.0697449,0.2463176,0.13464896,True
CC(=O)C(O)(SOC(C)O)C(C)(C)O,0.0,False,-20.621418,-42.281807,1.4836949,-75.0,358.64774,54.823303,0.049356483,0.038499035,0.19003077,0.08560751,0.035417374,0.11062874,0.056780115,0.025548572,0.04568118,0.09145561,0.09198056,0.022735374,0.18354474,0.027715646,0.08572746,0.1432383,0.14481118,0.049768522,0.25727943,0.16418916,0.15587403,0.07895102,0.28263286,0.024903445,0.095500335,0.031056922,0.22548966,0.048988793,0.12940684,0.034232333,0.08695412,0.1049404,0.059118055,0.12038014,0.09263668,0.269445,0.024318606,0.21363524,0.12604375,0.041095626,0.076126024,0.20934606,0.014506197,0.19539218,0.13219732,0.1724213,0.058532193,0.22253726,0.11531686,0.124543935,0.11434935,0.12542914,0.088000774,0.26114577,0.21823148,0.10029618,0.026357085,0.104881585,0.09006902,0.07617068,0.1795317,0.046353225,0.06400206,0.116134465,0.14032324,0.050681945,0.022408627,0.06044071,0.04182994,0.059405945,0.07489896,0.024725145,0.035372026,0.045767713,0.0401176,0.026838789,0.052372,0.49290267,0.09281246,0.030460728,0.12524149,0.22870511,0.14154436,0.022584576,0.10192103,0.07000027,0.15616259,0.07816378,0.23166607,0.4736061,0.11092543,0.19319811,0.032753102,0.050526317,0.04524572,0.04375442,0.106804565,0.025231475,0.1315972,0.034540366,0.080575496,0.042085357,0.17437145,0.17451492,0.10050405,0.16497304,0.15775663,0.04573715,0.07656234,0.4944432,0.06429934,0.050524198,0.023129249,0.40074664,0.11853847,0.14297093,0.04453136,0.10949979,0.12086777,0.17015022,0.10611896,0.45311183,0.09493677,0.36526895,0.052520394,0.037641812,0.07739074,0.13421527,0.23485807,0.085034244,0.1802231,0.05574803,0.02200277,0.055349696,0.048083533,0.03817556,0.09315635,0.15504293,False
CCCCCC(C)=O,0.6680189,True,-5.9506426,-14.164308,1.4836949,-0.40343884,6.4655375,-6.326531,0.22374494,0.16058104,0.13086812,0.15475415,0.11871614,0.19682625,0.17220256,0.43625373,0.29978785,0.16279493,0.15896273,0.4457173,0.12460971,0.10009819,0.3740171,0.1244382,0.15329036,0.24174568,0.23519287,0.3966124,0.14105885,0.12693603,0.3992637,0.09822112,0.16960953,0.20043634,0.51517296,0.20633096,0.26656646,0.12842616,0.21528298,0.12968557,0.107791334,0.26160112,0.26748255,0.1626289,0.2905005,0.16277897,0.13866635,0.2013091,0.17428222,0.40146255,0.08721078,0.35763976,0.2019976,0.40529394,0.41111383,0.49953926,0.35597876,0.1347857,0.313169,0.3263631,0.17353624,0.7743123,0.07068986,0.16850963,0.10882968,0.34332433,0.110221416,0.25019684,0.49531364,0.12389638,0.13885882,0.1278096,0.50132203,0.1555212,0.11253413,0.22405846,0.23571377,0.27558053,0.24052925,0.12959643,0.16662842,0.14554527,0.080984175,0.09078338,0.16823341,0.21745488,0.1324917,0.20751882,0.24592277,0.27914256,0.15174684,0.07018427,0.23873776,0.13136587,0.379836,0.1626556,0.3704381,0.08628997,0.42415726,0.095469594,0.17752741,0.08463537,0.13676663,0.11783216,0.2828055,0.3049948,0.14187552,0.06399382,0.4711291,0.22859669,0.0921628,0.12731375,0.1657803,0.33983025,0.14448382,0.18408166,0.3691706,0.18778904,0.18261774,0.3512531,0.067814685,0.12736028,0.2447743,0.10527947,0.13352711,0.27171758,0.31745133,0.3181274,0.28290427,0.18547057,0.26352844,0.65500957,0.12737584,0.07589464,0.1602053,0.16564961,0.40546536,0.1664209,0.3078231,0.07739045,0.14784756,0.19579925,0.34687945,0.17622012,0.4597295,0.35315555,True
CCCC(C)C(=O)C(C)=O,0.0,False,-13.551545,-23.882881,1.4836949,-75.0,623.5656,66.15236,0.093021795,0.11673286,0.092865236,0.169536,0.13161281,0.2091551,0.18165936,0.24189325,0.21427694,0.16911809,0.2556427,0.29347894,0.077332675,0.08020636,0.42213252,0.11737514,0.13477367,0.190604,0.32215655,0.46697852,0.11878262,0.13239436,0.66352874,0.076776646,0.1671443,0.17665291,0.29961774,0.18704686,0.22591896,0.16832483,0.17484723,0.13948253,0.14452131,0.19289567,0.31961083,0.1869972,0.13810559,0.16511944,0.13031313,0.16117994,0.29204643,0.44683164,0.04261295,0.3284273,0.24130824,0.31410235,0.30638272,0.39760622,0.20418596,0.08090321,0.37264404,0.24331766,0.14426401,0.72824013,0.04923305,0.11377405,0.09256895,0.32857388,0.10133036,0.118569136,0.32334334,0.14176042,0.20806277,0.11312001,0.43156618,0.25144085,0.07347695,0.25848615,0.14228861,0.2243188,0.32074663,0.1009027,0.08794293,0.13374539,0.062032197,0.09474655,0.11561915,0.14273565,0.13499148,0.13713655,0.17145541,0.3150594,0.20805828,0.055265687,0.14004022,0.16983542,0.2975119,0.14737216,0.32880569,0.14357193,0.2996641,0.06446615,0.14078103,0.1151918,0.12855944,0.09562433,0.28285262,0.13521777,0.17204536,0.06284639,0.37291014,0.24097581,0.09373861,0.10169682,0.27425247,0.20177516,0.1260147,0.22522858,0.19517152,0.21092142,0.17845152,0.2620929,0.051426567,0.130052,0.18809989,0.09929168,0.114072315,0.17768024,0.2646399,0.27663755,0.32793957,0.13762857,0.2045399,0.66892534,0.17792046,0.0633935,0.21724135,0.08717921,0.31876385,0.22016114,0.21719822,0.10497727,0.103718765,0.17966022,0.23596676,0.15362456,0.3467339,0.32708403,True
CCC(O)OC(O)O,0.0,False,-6.3561077,-18.179543,1.4836949,-75.0,868.08887,64.66026,0.077042766,0.021842992,0.18063359,0.051150642,0.016302263,0.07267709,0.037482917,0.03576465,0.047434997,0.0591321,0.03851045,0.021088183,0.1290975,0.016535727,0.08418123,0.0925467,0.10522369,0.058118857,0.15075457,0.15645543,0.14635438,0.043063506,0.1599713,0.015053931,0.041302223,0.021877864,0.25686234,0.04142713,0.09849684,0.015860276,0.064185806,0.08841501,0.025292467,0.09250418,0.034996077,0.13211744,0.040288486,0.23513581,0.07257134,0.034390952,0.029016398,0.17959335,0.0080806445,0.17691594,0.08570719,0.11601777,0.085598536,0.17323044,0.14578338,0.13373688,0.07534251,0.15352839,0.0849806,0.34450984,0.14427814,0.110350184,0.014065261,0.10319853,0.072734684,0.04496839,0.19480245,0.025330948,0.034811415,0.055919252,0.09190757,0.031389575,0.011673921,0.038892988,0.04362138,0.032918967,0.037595496,0.015914328,0.025181422,0.019874567,0.018627519,0.012684785,0.04564915,0.39122197,0.05289541,0.026565226,0.089906365,0.24927579,0.10894646,0.0099508725,0.0720168,0.043388516,0.15040255,0.043973517,0.14338115,0.4975838,0.10590663,0.1930116,0.027231542,0.023171693,0.029190829,0.021934776,0.08507459,0.029237777,0.090039924,0.02074666,0.07027155,0.04017893,0.060476575,0.16854286,0.035927694,0.22961184,0.15809576,0.03121769,0.113810055,0.3028045,0.02809592,0.08406853,0.015902428,0.31881768,0.18267597,0.05753577,0.028416531,0.10886867,0.17541751,0.07870876,0.117310956,0.38684428,0.10453737,0.33712974,0.025266211,0.017721452,0.044980142,0.13086787,0.28107634,0.055075105,0.18210864,0.038444575,0.013530964,0.047370136,0.04940306,0.027206657,0.12490268,0.069429934,False
