SMILES,R(x),is_valid,traj_log_p_B,traj_log_p_F,log_Z,clip_log_R,subtb_losses,tb_losses,alcoholic,aldehydic,alliaceous,almond,amber,animal,anisic,apple,apricot,aromatic,balsamic,banana,beefy,bergamot,berry,bitter,black currant,brandy,burnt,buttery,cabbage,camphoreous,caramellic,cedar,celery,chamomile,cheesy,cherry,chocolate,cinnamon,citrus,clean,clove,cocoa,coconut,coffee,cognac,cooked,cooling,cortex,coumarinic,creamy,cucumber,dairy,dry,earthy,ethereal,fatty,fermented,fishy,floral,fresh,fruit skin,fruity,garlic,gassy,geranium,grape,grapefruit,grassy,green,hawthorn,hay,hazelnut,herbal,honey,hyacinth,jasmin,juicy,ketonic,lactonic,lavender,leafy,leathery,lemon,lily,malty,meaty,medicinal,melon,metallic,milky,mint,muguet,mushroom,musk,musty,natural,nutty,odorless,oily,onion,orange,orangeflower,orris,ozone,peach,pear,phenolic,pine,pineapple,plum,popcorn,potato,powdery,pungent,radish,raspberry,ripe,roasted,rose,rummy,sandalwood,savory,sharp,smoky,soapy,solvent,sour,spicy,strawberry,sulfurous,sweaty,sweet,tea,terpenic,tobacco,tomato,tropical,vanilla,vegetable,vetiver,violet,warm,waxy,weedy,winey,woody,has_db_match
CCC(CC)OCC=O,0.7386256,True,-8.26565,-21.54582,7.129965,-0.30296412,6.5110674,-5.8472414,0.2424428,0.09648166,0.10641831,0.1486247,0.062960625,0.15157074,0.102038175,0.119985364,0.09351511,0.15209791,0.14113645,0.09859971,0.080206126,0.057441484,0.17195573,0.15007198,0.12464705,0.1315999,0.18391201,0.34508482,0.09618609,0.11330986,0.3234102,0.047334842,0.12158188,0.08097923,0.291607,0.13056532,0.20948115,0.09056757,0.1626371,0.10125802,0.0971063,0.1998693,0.14478564,0.14600743,0.14114492,0.15019454,0.13121985,0.11056361,0.11071002,0.29029548,0.033183992,0.3033183,0.15044537,0.24694031,0.305405,0.31831646,0.25325313,0.13966684,0.22259095,0.23370111,0.14913963,0.5121361,0.066598155,0.115275316,0.058316413,0.20808394,0.11002505,0.10472027,0.29624575,0.08412941,0.11658022,0.101352684,0.23513009,0.107467204,0.04990323,0.14250268,0.09224762,0.11576485,0.14076534,0.042849686,0.07700802,0.074203,0.058799338,0.08782132,0.16297895,0.19665447,0.09379542,0.10448806,0.15611583,0.2628158,0.17594212,0.04496974,0.124492906,0.10792748,0.27094287,0.1071021,0.25375292,0.25971323,0.23896338,0.08365794,0.100491114,0.08154168,0.08905204,0.069130264,0.14148907,0.06427322,0.17260885,0.05364817,0.14353636,0.095242456,0.08060284,0.1082753,0.13193321,0.2795734,0.13093233,0.09719819,0.13307981,0.24768329,0.1013499,0.19017604,0.047717765,0.18804653,0.26529548,0.08219849,0.082422234,0.1678373,0.207697,0.20749016,0.19073756,0.14252833,0.14237124,0.4896841,0.07962214,0.028715815,0.12975413,0.08672366,0.1991927,0.18525876,0.18678588,0.06285733,0.0557587,0.15205686,0.116326936,0.084920324,0.23384194,0.20486836,True
CCSC(=O)O,0.42275825,True,-5.3752785,-13.396339,7.129965,-0.86095476,1.8981936,-0.030141354,0.034885373,0.027911277,0.43924138,0.05397568,0.019468473,0.09527167,0.059751548,0.026687253,0.04973473,0.04719092,0.042604305,0.014112015,0.2582818,0.018952468,0.07875265,0.1282115,0.2041827,0.035347734,0.32397833,0.065498255,0.3763997,0.03894058,0.08862612,0.023330657,0.06235537,0.02561135,0.42769113,0.024641836,0.09226009,0.021084763,0.09506175,0.08474367,0.023389956,0.1107292,0.033662245,0.40778503,0.022242699,0.42478794,0.07763964,0.039655842,0.030177187,0.13738823,0.016226208,0.14735597,0.07632888,0.19546987,0.04940858,0.17155807,0.10704288,0.17315947,0.088211924,0.18066391,0.06920284,0.28946537,0.57441753,0.16537301,0.027586242,0.11153652,0.18782575,0.07431471,0.24719086,0.03602406,0.023272965,0.09997462,0.1102706,0.04691582,0.024278384,0.032294247,0.055253375,0.03954767,0.02932002,0.026370173,0.04208995,0.03222782,0.018987777,0.01363518,0.029141312,0.72520435,0.06819653,0.025689544,0.22645694,0.16926573,0.099713966,0.011931488,0.20040143,0.03470165,0.15279722,0.043853335,0.20888484,0.24234283,0.09585647,0.62773794,0.04468198,0.03423511,0.031919934,0.030032992,0.07484688,0.028209886,0.06380396,0.021391232,0.108418025,0.05454176,0.124637686,0.28394192,0.024750771,0.3730301,0.32423854,0.023643026,0.19673248,0.59753907,0.0501836,0.031576023,0.018389955,0.6107368,0.107240714,0.13342042,0.03285933,0.084903456,0.108277716,0.10728405,0.08896117,0.8200091,0.10372874,0.31491822,0.031162238,0.038815986,0.039399646,0.25584164,0.3125978,0.031162485,0.35960045,0.043456994,0.020915607,0.026264634,0.06351594,0.044795174,0.06268338,0.07396462,True
COC(C)OC(C)(OC)C(NCC(=O)C(O)O)OCO,0.0,False,-28.181913,-55.082085,7.129965,-75.0,522.3324,55.229797,0.056840546,0.033988923,0.12501931,0.061459817,0.02580596,0.08827946,0.040208656,0.026428923,0.03978573,0.07895265,0.07387564,0.025134249,0.106016286,0.020872148,0.08133415,0.103434265,0.09647748,0.062561646,0.16756354,0.22979917,0.11061758,0.055817764,0.26740253,0.018829161,0.057999477,0.026730275,0.21198902,0.05290541,0.11476803,0.024786603,0.07045303,0.099326834,0.042319268,0.09655172,0.074201085,0.1430732,0.03706248,0.17577548,0.083638914,0.033271816,0.061445985,0.21982202,0.011702194,0.2069218,0.11659006,0.13731857,0.07276373,0.24980055,0.108725205,0.109680295,0.088949256,0.12505096,0.09119655,0.2876902,0.11674419,0.101911776,0.017251967,0.094955586,0.05547852,0.04777577,0.17741878,0.03097791,0.06498664,0.06848728,0.11349456,0.04147211,0.014167031,0.056425653,0.040265,0.0440729,0.06574386,0.018271744,0.025098316,0.025687719,0.028672889,0.017642008,0.049448214,0.31487647,0.06305619,0.030674357,0.090415135,0.27968416,0.10533789,0.013404322,0.07933266,0.06145113,0.14651676,0.059572197,0.17526124,0.54222625,0.11178303,0.11793133,0.028533563,0.035323177,0.038880877,0.03466245,0.10135276,0.028528998,0.10177551,0.025193857,0.06663422,0.03884643,0.08435741,0.12134979,0.08017609,0.17070796,0.1305803,0.037470516,0.058137275,0.33479422,0.0377687,0.07353998,0.01886594,0.2947163,0.16022888,0.06777467,0.04092328,0.08906817,0.15248902,0.11092196,0.10301368,0.2866433,0.09239002,0.38184085,0.038988844,0.020987349,0.059133917,0.10177645,0.19956252,0.081635505,0.12905669,0.04456773,0.019236347,0.06260624,0.054028563,0.028731419,0.12816554,0.11643602,False
O=C(O)OCCCCOCO,0.0,False,-8.030085,-19.575518,7.129965,-75.0,687.96857,70.58453,0.12099692,0.04596577,0.210563,0.06241751,0.07237152,0.1330683,0.06909426,0.11447684,0.14729628,0.08898453,0.10861696,0.07558146,0.14291227,0.04144007,0.12071835,0.086037554,0.1342716,0.16170374,0.22022222,0.27824655,0.20658417,0.0689362,0.2911429,0.044743348,0.081434965,0.07390273,0.29062214,0.060218647,0.112582326,0.051586024,0.14768797,0.1498728,0.061715227,0.13646035,0.109686196,0.19037797,0.16148312,0.26134336,0.1021347,0.08105972,0.0838908,0.32404643,0.0352569,0.2669383,0.13375105,0.17314515,0.20790613,0.33489475,0.22466244,0.10182385,0.19696741,0.27181908,0.14779219,0.51072544,0.14603534,0.14377235,0.03834998,0.19088165,0.10927066,0.059219126,0.27377027,0.05422675,0.087949224,0.070340015,0.14949527,0.123665534,0.04045446,0.113493614,0.101081125,0.06296036,0.14135006,0.037909936,0.054950822,0.04046924,0.047014788,0.046896625,0.07424304,0.38918865,0.06341624,0.08357581,0.13560532,0.3493601,0.1034662,0.035746492,0.16674198,0.13179655,0.17555891,0.08659221,0.1698354,0.26549593,0.27656823,0.20954895,0.11141024,0.069823414,0.06024914,0.046522573,0.20148139,0.0739884,0.08882543,0.04431752,0.21175809,0.13862115,0.057374988,0.1803751,0.091963574,0.22768931,0.16611314,0.076477185,0.19404595,0.29914796,0.09206445,0.12034502,0.037959933,0.30263352,0.21293071,0.069930024,0.101690106,0.15636255,0.20093632,0.114054844,0.18833421,0.49386364,0.22731966,0.48310784,0.06609274,0.025931275,0.07673914,0.1640001,0.3883148,0.08672319,0.18821229,0.064880535,0.063420676,0.08186099,0.22568679,0.07570158,0.31739,0.098181404,False
CN=C(C)C(=COCOC(=O)OCC=O)CC(=O)OC,0.0,False,-30.022047,-54.361473,7.129965,-75.0,488.91098,57.790543,0.10098305,0.07941836,0.10789654,0.098053366,0.11204916,0.14155045,0.11240797,0.29944253,0.2353312,0.11933684,0.18908305,0.1894013,0.07887723,0.094180085,0.1999404,0.10273794,0.11710174,0.21249782,0.17033854,0.3153085,0.13394955,0.09370027,0.39625555,0.0669513,0.097154476,0.18365583,0.19354112,0.13688941,0.12657268,0.12584072,0.23757635,0.15079342,0.09231909,0.15455022,0.13737164,0.13131875,0.16309366,0.15821436,0.13576828,0.12922534,0.13728136,0.28276432,0.051676687,0.20917907,0.19312352,0.19849971,0.26878163,0.28189585,0.20782606,0.07850162,0.370233,0.29319227,0.20162614,0.6878019,0.046154764,0.118041806,0.0812044,0.2387693,0.08940946,0.07438418,0.37499365,0.07628495,0.15182267,0.07575153,0.25174135,0.27625215,0.07632792,0.21109416,0.15231703,0.11611232,0.17883216,0.089550056,0.10860092,0.06607428,0.05622225,0.09278519,0.08027509,0.17373696,0.09388762,0.18552594,0.14783597,0.2625655,0.13415925,0.06341637,0.14278379,0.13834254,0.17729974,0.13566837,0.18636622,0.18840414,0.30942437,0.069667935,0.13107269,0.09745057,0.094160885,0.059018765,0.23740563,0.17299737,0.11207698,0.092704184,0.33340716,0.2553265,0.050610803,0.09914958,0.15627775,0.21465117,0.105163254,0.14467052,0.20164056,0.1287256,0.19234554,0.2244372,0.057671092,0.13524023,0.20952383,0.057171196,0.13250922,0.1594607,0.2519989,0.20702319,0.26864552,0.19481798,0.20603679,0.51876706,0.1328338,0.04948307,0.11244134,0.118548155,0.3886212,0.111470476,0.16689932,0.09866361,0.10695636,0.1267075,0.28688422,0.13766614,0.41657478,0.18345912,False
C=CC=S(C)C(C)([Na])CC,0.5825905,True,-14.585619,-38.56722,7.129965,-0.5402707,36.604908,-16.311363,0.091516234,0.17459168,0.34558892,0.09230365,0.06035151,0.12671025,0.092490815,0.09486291,0.08881283,0.10434652,0.077924035,0.047565077,0.20253243,0.102460146,0.18023403,0.16384025,0.34451607,0.05381579,0.291298,0.10888162,0.2616894,0.15329817,0.087893635,0.0779042,0.1849919,0.06932351,0.40259635,0.08269788,0.17555389,0.07704371,0.33161518,0.12718238,0.067730136,0.20341833,0.068895325,0.22799002,0.041402984,0.32301506,0.1858033,0.11743049,0.056993235,0.18689854,0.08200398,0.2003898,0.14956485,0.3190402,0.09883942,0.19955494,0.14214492,0.23219877,0.30504793,0.34380016,0.1533619,0.46479782,0.37964505,0.1888754,0.12814914,0.16664591,0.43146828,0.21338981,0.47407505,0.084884934,0.06947374,0.1582482,0.38737422,0.12313714,0.06764002,0.113642454,0.118620224,0.1761382,0.09010254,0.10344451,0.16319731,0.0948012,0.11145532,0.09851567,0.10474005,0.50233424,0.08245104,0.113906145,0.324617,0.13556302,0.26001382,0.083138205,0.22485298,0.06651023,0.19388072,0.13920641,0.2923272,0.16830532,0.16066058,0.44335583,0.10729057,0.06749945,0.09612749,0.11883708,0.14571995,0.09536491,0.12838522,0.09508075,0.15346,0.084232084,0.21227188,0.32638463,0.07751526,0.35501552,0.27835855,0.08946884,0.18640807,0.405535,0.13586695,0.08273591,0.059185848,0.32149604,0.15416135,0.14151308,0.107699014,0.14011428,0.16510813,0.34692088,0.104979955,0.5514067,0.14536676,0.3284779,0.13114126,0.119249,0.10297433,0.24201249,0.42890987,0.06498569,0.43767452,0.11069493,0.09643212,0.09011041,0.10315385,0.12722433,0.07172716,0.22305472,False
CCOC(=O)OCOC,0.58541495,True,-7.860185,-18.1075,7.129965,-0.53543437,3.5075288,-2.5819159,0.2068378,0.03733164,0.16721338,0.072973385,0.07237946,0.10544681,0.103386655,0.5082938,0.28739268,0.10976433,0.101948835,0.24941207,0.08449966,0.08304597,0.20999256,0.06006179,0.103702724,0.25589588,0.16325814,0.25377625,0.13707043,0.090983,0.2951602,0.06782931,0.06480309,0.19687231,0.11366621,0.106222,0.08991262,0.075779095,0.16879223,0.18045779,0.057412807,0.13101858,0.07514129,0.10927623,0.27105185,0.123928905,0.105345644,0.13133249,0.07867284,0.21614891,0.030175433,0.16305292,0.15359946,0.16007268,0.4830092,0.19499142,0.29987076,0.09303368,0.29307318,0.36297894,0.17189723,0.7462877,0.0569288,0.09267815,0.06521163,0.21993598,0.05305569,0.058038488,0.34705207,0.053474832,0.08797284,0.03977393,0.19122565,0.21687393,0.06869782,0.12954651,0.1783187,0.082816936,0.1152601,0.086647406,0.117624864,0.040704098,0.033303525,0.05788589,0.0871632,0.1628748,0.08022121,0.16221647,0.122209206,0.18554825,0.12547842,0.037947547,0.10058777,0.1508035,0.18114142,0.11233087,0.15708534,0.17055869,0.33758223,0.07071057,0.1005125,0.06521796,0.0684596,0.033290528,0.16958302,0.20567408,0.10692271,0.073181376,0.41651794,0.27671665,0.04031443,0.097066194,0.09978049,0.2592378,0.11185166,0.12965149,0.34543395,0.06842797,0.20283487,0.3316045,0.046033073,0.11382947,0.25463265,0.03886351,0.09869489,0.27174947,0.21993247,0.10862377,0.31850934,0.2030401,0.1909192,0.5431365,0.106524006,0.036907855,0.094338484,0.13721018,0.38837212,0.060816742,0.1790498,0.07910918,0.065967746,0.10551465,0.25343397,0.14479972,0.4856307,0.10424901,True
CC=C(OC(C)=O)C(O)=NC(C=O)=CCOCCCO,0.0,False,-39.49612,-54.123074,7.129965,-75.0,1060.4796,67.50301,0.072656445,0.10202122,0.14858948,0.13848971,0.063161835,0.15504816,0.08494972,0.052374974,0.07049012,0.14925225,0.17537357,0.05159011,0.14226219,0.052310225,0.12089854,0.1746298,0.12097397,0.10422232,0.29515794,0.30345628,0.16115615,0.08875785,0.4146226,0.04510806,0.12342267,0.06890552,0.29937,0.11643062,0.18428436,0.09826013,0.16135514,0.11971907,0.13402146,0.16294943,0.14358625,0.2476438,0.06276216,0.21051668,0.12068117,0.07496294,0.19189967,0.3058645,0.039691932,0.3099416,0.16630058,0.21141596,0.10985329,0.34194693,0.15004084,0.12049465,0.1984807,0.17299125,0.1229638,0.34879074,0.13928851,0.13727215,0.055891074,0.16233523,0.10460944,0.10442156,0.23018885,0.08490128,0.12875606,0.13914657,0.21153142,0.12542394,0.040954176,0.10518668,0.05731202,0.102469705,0.13400492,0.03725897,0.058714453,0.069868036,0.061996773,0.06148422,0.08489482,0.34078705,0.12182921,0.07926089,0.17393906,0.33554175,0.12784564,0.042844098,0.15200886,0.11576922,0.2224611,0.11760594,0.305057,0.42301443,0.1754886,0.14140385,0.092939295,0.10947842,0.0653921,0.08455801,0.14910246,0.047817104,0.14988376,0.043501873,0.12075893,0.09321651,0.16721918,0.17710431,0.16770127,0.21018057,0.18620272,0.08020616,0.083540276,0.43792894,0.08646593,0.10351975,0.042224463,0.2999704,0.19976112,0.12090813,0.08803679,0.10648022,0.23365062,0.22850388,0.15651695,0.31377095,0.15491411,0.43145746,0.10238785,0.04276855,0.12781881,0.13777791,0.22239468,0.157677,0.17598012,0.07000206,0.05392198,0.119313695,0.11655473,0.07096438,0.20051558,0.19410789,False
CCSCCCO,0.467913,True,-4.158883,-14.558502,7.129965,-0.7594729,1.9970847,-2.5101814,0.048108514,0.029022539,0.5040079,0.075077906,0.030021137,0.116433434,0.07326386,0.026749957,0.05596031,0.06739611,0.05104607,0.015991466,0.32858998,0.015923815,0.08633282,0.12214244,0.15781595,0.02733779,0.38323858,0.056419663,0.33767954,0.051306546,0.09041576,0.028884714,0.07419574,0.02585026,0.33292165,0.028004406,0.12367306,0.025368929,0.09586358,0.09361414,0.030200828,0.14623277,0.07190353,0.42446798,0.025449468,0.41656995,0.08544458,0.06307978,0.034737192,0.13886166,0.023076598,0.11556192,0.074801885,0.22227244,0.069825925,0.19632122,0.08290086,0.25495356,0.10197056,0.17319973,0.07144821,0.22703134,0.6119358,0.15086411,0.036075667,0.098917596,0.15139157,0.087655395,0.25622693,0.050655767,0.033932712,0.13497826,0.11426613,0.053499516,0.037718147,0.03429171,0.058856163,0.053053375,0.034123167,0.029189019,0.055874348,0.063548386,0.025789931,0.020957982,0.042488717,0.74170417,0.08542477,0.03424721,0.20521607,0.14155778,0.1049292,0.013754593,0.22755763,0.03461206,0.2041238,0.048601367,0.28640917,0.12202778,0.11413815,0.58468384,0.052876573,0.04547185,0.034203786,0.038388047,0.0657425,0.030473676,0.10570258,0.02305723,0.120873004,0.04544934,0.15102412,0.2584155,0.03298683,0.41542906,0.25069287,0.020992553,0.20820975,0.6490513,0.07554064,0.033464655,0.022760943,0.5957867,0.10171973,0.24512859,0.03497567,0.11682387,0.06967452,0.14255944,0.08512042,0.82539475,0.0742514,0.3726818,0.042113677,0.054502454,0.055410422,0.22563547,0.193708,0.046211336,0.42899266,0.0496237,0.031278625,0.032240108,0.07260111,0.03576945,0.05492335,0.11974595,True
CC(C)(C)OC=O,0.59445846,True,-6.761573,-14.482147,7.129965,-0.5201044,2.5438976,-0.07050514,0.19968174,0.07822154,0.104954734,0.08761067,0.05614248,0.08836236,0.09687685,0.55468273,0.21785772,0.12432393,0.0903282,0.3688899,0.06269012,0.10900741,0.35060468,0.08956495,0.13783537,0.22863652,0.16944249,0.33914283,0.09501158,0.13401382,0.31908542,0.066958375,0.07484706,0.27658275,0.31600526,0.14234759,0.14726633,0.08942209,0.19598022,0.10853724,0.04842352,0.16968262,0.08989173,0.11879193,0.18282554,0.11502193,0.13508974,0.1473873,0.08152163,0.19428433,0.031242596,0.21228409,0.1542745,0.25288594,0.53198224,0.23432232,0.31013042,0.08012796,0.25963083,0.41480747,0.18278606,0.8650552,0.039049458,0.09747834,0.081387356,0.27838695,0.08985989,0.117749155,0.4082492,0.061526645,0.088276915,0.06532013,0.3483225,0.15201251,0.06120872,0.13412458,0.23960063,0.21476391,0.107176736,0.11346512,0.12818736,0.059360355,0.04278277,0.05246511,0.11102627,0.1260347,0.0802922,0.17789714,0.13517614,0.19568866,0.21942002,0.041377332,0.085243665,0.09524629,0.22300844,0.15439016,0.19865753,0.099566706,0.2718068,0.046064727,0.0712948,0.04166146,0.089121915,0.057052128,0.17696649,0.26795366,0.10899862,0.08314272,0.45946485,0.23168337,0.05061762,0.08023267,0.092961006,0.3194979,0.11122494,0.16224839,0.3649916,0.08161727,0.18145843,0.39913872,0.040404182,0.091157,0.3104262,0.03326474,0.07084068,0.27082863,0.32998896,0.17806786,0.26203805,0.16927746,0.23877804,0.60094213,0.10097879,0.04825961,0.09216727,0.105936885,0.41206232,0.07379794,0.1734397,0.05599879,0.0834761,0.17007199,0.18543293,0.13470548,0.40627745,0.20928991,True
