,SMILES,OR1L3,OR2G2,OR2J2,OR2M4,OR2T10,OR2T34,OR5AC2,OR10G3,OR10G4,OR10G7
0,CCS[SH]=C(CC)CC,-4.321,-4.539,-4.361,-4.255,-3.98,-4.188,-4.134,-4.173,-4.217,-4.418
1,C=COC(N=C)=C(C)C,-4.697,-4.576,-4.474,-4.786,-4.973,-4.944,-4.075,-4.471,-4.434,-4.195
2,CCC=C1CS(C)=C1CC,-5.313,-4.926,-5.17,-5.191,-4.856,-4.649,-4.751,-4.647,-4.792,-4.85
3,CC12CCC3CC31C2,-6.038,-5.834,-5.289,-5.353,-5.479,-5.74,-4.976,-4.818,-5.027,-5.023
4,CCCC1C=[SH]C1,-4.152,-4.442,-3.848,-4.056,-3.908,-4.297,-3.77,-3.792,-3.91,-4.036
5,CC=C(N)CSSCCC,-4.863,-4.896,-4.364,-4.713,-3.795,-4.331,-4.183,-4.286,-4.431,-4.427
6,CCS1(C)(C)(CC)CCC(C)C1C,,,,,,,,,,
7,C=CC(C)=C(CC)C(C)=O,-5.57,-5.481,-5.657,-5.561,-5.343,-5.632,-4.994,-5.026,-5.129,-5.175
8,C=CCC(C)(CCC)C(C)=C=CC,-5.848,-5.496,-6.009,-5.654,-5.047,-5.51,-5.552,-5.356,-5.489,-5.861
9,C=C(C)CC(CC(C)C)C(=C)OC,-5.663,-5.828,-6.146,-5.635,-4.632,-5.409,-5.544,-4.951,-5.549,-5.869
10,CC=C(CC(CC)NC)C(C)=O,-5.72,-5.834,-5.528,-5.575,-5.011,-5.618,-5.304,-5.551,-5.24,-5.177
11,C=C(C)[SH](CC)CC(C)O,-5.31,-4.806,-4.873,-4.759,-4.277,-4.741,-4.85,-4.722,-4.841,-4.964
12,CC1=NN=C1C(C)CC(C)C,-6.368,-6.256,-5.886,-5.511,-5.499,-5.355,-5.65,-5.804,-5.866,-6.02
13,CCC=C(OCCC)C(C)C(C)C,-5.723,-5.945,-5.825,-5.907,-4.873,-5.914,-5.247,-5.145,-5.273,-5.657
14,C=CC(C)(CC)C(=O)C(C)C(C)(C)C=O,-6.908,-5.819,-6.541,-5.716,-3.898,-5.804,-6.048,-4.628,-5.969,-6.629
15,CC=C(C(C)=O)C(C)CS,-5.355,-4.949,-5.318,-5.047,-4.374,-4.766,-4.643,-4.655,-4.674,-4.671
16,CCC=C(C)C=C(CCC)OC,-5.457,-5.978,-5.345,-5.524,-5.274,-5.292,-5.015,-5.187,-5.282,-5.368
17,CCC(C)CC(CC)C(C)O,-5.752,-5.554,-5.621,-5.439,-5.031,-5.362,-5.167,-5.313,-5.307,-5.394
18,CCC1=C=CC=NC2=NC(=[SH]2)C=CC=C1,-4.512,-4.679,-5.041,-4.702,-2.946,-2.709,-4.624,-4.295,-4.732,-4.963
19,CC=NC(CC)C(=O)C(C)C,-5.692,-5.537,-5.111,-5.343,-4.886,-5.606,-4.756,-5.129,-5.123,-4.995
20,C1=CC=1OC1C=CS1,-4.202,-4.688,-4.423,-4.226,-4.312,-4.761,-4.05,-4.08,-4.26,-4.176
21,C=C(C(=O)CC(C)(C)C)C(C)=CC,-6.301,-6.719,-6.336,-6.043,-5.248,-6.087,-5.887,-5.247,-5.983,-6.0
22,CCCCSCC(=O)CCC,-5.239,-5.373,-5.083,-5.002,-4.067,-4.79,-4.714,-4.706,-4.846,-4.76
23,C=C(O)C=COCC=C(C)C,-5.756,-5.475,-5.348,-5.244,-5.238,-5.134,-4.856,-4.834,-4.953,-4.814
24,CO[SH]=C=CC(=O)OS,-4.101,-4.535,-4.042,-3.941,-3.577,-3.931,-4.093,-3.986,-3.84,-3.856
25,C=CC(=O)CC(C=O)=C(C)CC,-5.987,-6.107,-5.626,-5.726,-5.067,-5.32,-5.305,-5.323,-5.622,-5.367
26,CCC=CC(N)=CC(O)(CC)CCC,-5.964,-5.998,-5.777,-5.759,-5.453,-5.588,-5.432,-5.565,-5.764,-5.536
27,CCCCC(C)SCO,-4.807,-5.12,-4.82,-4.612,-4.601,-4.579,-4.301,-4.488,-4.507,-4.699
