,SMILES,OR1L3,OR2G2,OR2J2,OR2M4,OR2T10,OR2T34,OR5AC2,OR10G3,OR10G4,OR10G7
0,CC=CCSCC(C)=CC,-4.562,-5.191,-4.742,-4.936,-4.562,-4.452,-4.574,-4.402,-4.82,-4.358
1,CCCC(=CCS)OC,-4.251,-4.51,-4.33,-4.256,-3.98,-4.083,-4.08,-3.945,-4.04,-4.054
2,CCCCC(C)C=C(C)CCCN,-6.304,-6.376,-5.997,-5.639,-5.697,-5.573,-5.311,-5.213,-5.47,-5.923
3,C=C(CC)CCSC,-4.241,-4.645,-4.143,-4.344,-4.194,-4.202,-4.033,-3.82,-4.166,-4.204
4,C=C(S)C(=CCC(=O)OC)C(C)C(C)C,-5.905,-6.009,-6.317,-6.183,-4.558,-5.416,-5.711,-5.041,-5.836,-6.226
5,CCCC(=CN)C(C)=O,-5.32,-4.975,-4.921,-4.932,-4.805,-5.124,-4.411,-4.608,-4.639,-4.469
6,C=C(C)C(C)C1=COC=CC=C=C1,-5.015,-4.682,-4.566,-4.821,-3.622,-3.949,-4.442,-3.462,-4.6,-4.756
7,CC(=O)C(C)C=C(C)CC(C)C,-6.074,-6.314,-6.306,-5.953,-4.836,-5.377,-5.553,-5.165,-5.56,-5.855
8,CC=CC(=CCCC)SC,-4.941,-5.121,-4.824,-4.858,-4.849,-4.696,-4.277,-4.455,-4.498,-4.618
9,CCC=C(S)CCC(=O)CC,-5.207,-5.583,-5.242,-4.927,-4.884,-4.828,-4.81,-5.044,-4.723,-4.792
10,CC=C(CC=CCC)OC(=O)CC,-6.055,-6.204,-5.777,-5.698,-4.994,-5.29,-5.377,-5.722,-5.343,-5.573
11,CCSC(C)C=CC(C)CC,-5.314,-5.681,-5.374,-5.087,-4.827,-4.742,-4.561,-4.671,-4.83,-5.108
12,C=C(C)C1=CCC(C)CC(C2(CC)C(=C)CCC2C)=C1,-5.916,-4.969,-6.368,-3.386,-0.145,-3.985,-6.615,-2.08,-5.888,-6.267
13,CCC(S)=CC(N)S,-4.205,-4.271,-4.096,-4.079,-3.69,-4.311,-4.002,-3.908,-4.151,-4.13
14,C=C(OC)C(C)=CC=CCC,-5.515,-5.795,-5.364,-5.311,-5.465,-5.213,-5.004,-4.871,-5.118,-5.009
15,CC=CC(O)=CC(C)=O,-5.318,-5.159,-4.999,-5.029,-4.956,-5.117,-4.507,-5.175,-5.287,-4.928
16,CCNC1(C)C2=C1CC=C2,-5.592,-5.822,-5.604,-5.751,-5.593,-5.377,-5.201,-5.245,-5.451,-5.534
17,C=CCCC=C(C=C)CCCCC,-5.785,-6.177,-5.923,-5.38,-5.262,-5.481,-5.194,-5.265,-5.351,-5.647
18,CCC(C=O)C(O)C(C)(C)C,-5.584,-5.448,-5.127,-5.303,-4.064,-5.477,-5.366,-4.967,-5.179,-5.22
19,C=CCCCOC=COC,-4.584,-4.999,-4.471,-4.777,-4.392,-4.458,-4.383,-4.43,-4.567,-4.278
20,O=CCCCC=CC=CO,-5.165,-5.451,-4.904,-5.036,-5.057,-4.754,-4.831,-4.4,-4.756,-4.954
21,C=C(C=CC(=C)NS)CC,-5.17,-5.428,-5.047,-4.828,-5.184,-4.918,-4.79,-4.494,-4.853,-4.851
22,CC=CC(C)=CC=CCCCC(C)C=O,-6.387,-6.984,-6.257,-5.947,-4.438,-5.723,-5.45,-5.52,-5.683,-5.921
23,CCOC(CCOC)OC,-4.295,-4.612,-4.542,-4.529,-4.642,-4.585,-4.031,-4.481,-4.269,-4.049
24,CC=CC(C)=CC(=CC)CCC,-5.796,-6.003,-5.778,-5.458,-5.33,-5.229,-5.298,-5.244,-5.173,-5.62
25,CCSC(C)CC(C)C,-4.829,-5.12,-4.597,-4.479,-4.12,-4.743,-4.274,-4.334,-4.475,-4.626
26,C=C(C)C=C1C=C[CH-]N1C=O,-6.093,-6.16,-5.604,-5.853,-5.235,-5.255,-5.556,-5.138,-5.804,-5.959
27,CCCC(CC=O)C(C)CC,-5.731,-5.318,-5.462,-5.422,-4.865,-5.251,-5.027,-4.735,-4.963,-5.254
28,CC=CC=CC(=CC=CC)OC,-5.454,-5.874,-5.303,-5.473,-4.944,-4.99,-4.901,-4.801,-4.97,-4.955
29,C=CC(=COCCCC)C(C)C,-5.435,-5.91,-5.554,-5.413,-5.675,-5.565,-4.951,-5.164,-5.354,-5.019
30,COC(C)=COCCC1(C)CC1,-5.666,-5.948,-5.59,-5.596,-4.868,-5.301,-5.206,-5.098,-5.049,-5.294
31,CCC=C(C)C(C)=CC(C)=O,-5.869,-5.945,-5.952,-5.557,-5.632,-5.679,-5.178,-5.218,-5.406,-5.517
32,CCCC(C)=CCC=CO,-5.563,-5.699,-5.16,-5.143,-5.081,-5.323,-4.899,-4.574,-5.059,-5.343
33,CCC(C)(OC(C)C)C(C)(C)O,-5.728,-5.205,-5.619,-4.943,-4.221,-5.337,-5.325,-5.136,-5.681,-5.547
34,CCSC(C)C=CNC,-4.256,-4.761,-4.11,-4.311,-4.117,-4.103,-4.048,-4.135,-4.012,-4.025
