,SMILES,OR1L3,OR2G2,OR2J2,OR2M4,OR2T10,OR2T34,OR5AC2,OR10G3,OR10G4,OR10G7
0,CCC(CC)OCC=O,-4.581,-4.891,-4.678,-4.918,-4.422,-4.674,-4.317,-4.498,-4.318,-4.329
1,CCSC(=O)O,-3.911,-4.182,-3.562,-3.683,-3.494,-3.713,-3.572,-3.816,-3.776,-3.72
2,COC(C)OC(C)(OC)C(NCC(=O)C(O)O)OCO,-6.065,-5.954,-6.28,-5.653,-3.378,-5.024,-5.995,-5.637,-5.734,-5.612
3,O=C(O)OCCCCOCO,-5.067,-5.573,-4.141,-4.695,-4.906,-4.435,-4.815,-4.81,-4.748,-4.588
4,CN=C(C)C(=COCOC(=O)OCC=O)CC(=O)OC,-6.223,-6.968,-6.337,-5.964,,-5.828,-5.907,-5.404,-5.874,-5.571
5,C=CC=S(C)C(C)([Na])CC,,,,,,,,,,
6,CCOC(=O)OCOC,-4.523,-4.7,-4.12,-4.697,-4.164,-4.267,-4.088,-4.272,-4.357,-4.003
7,CC=C(OC(C)=O)C(O)=NC(C=O)=CCOCCCO,-6.517,-7.09,-6.266,-5.958,-4.271,-5.576,-5.626,-5.565,-5.635,-5.498
8,CCSCCCO,-3.953,-4.026,-3.705,-3.667,-3.525,-3.923,-3.56,-3.582,-3.808,-3.698
9,CC(C)(C)OC=O,-4.421,-4.693,-4.28,-4.33,-4.141,-4.404,-3.997,-3.862,-3.94,-3.982
10,CC(C)=C(O)CC=O,-4.834,-4.911,-4.621,-4.592,-4.837,-5.04,-4.183,-4.752,-4.609,-4.446
11,COCOC=C(OC)C(=O)O,-5.275,-4.966,-4.493,-5.052,-4.403,-4.813,-4.724,-5.009,-4.664,-4.318
12,CCC(CO)NC(C)OC=O,-5.489,-5.207,-5.071,-5.632,-4.531,-4.931,-4.835,-5.18,-4.856,-4.876
13,CC(C)(O)OCC=O,-4.415,-4.594,-4.281,-4.745,-4.056,-4.529,-4.146,-4.559,-4.415,-4.28
14,CCCCCCC(=O)O,-5.112,-5.595,-4.782,-4.781,-4.907,-5.087,-4.646,-4.605,-4.806,-4.998
