,SMILES,OR1L3,OR2G2,OR2J2,OR2M4,OR2T10,OR2T34,OR5AC2,OR10G3,OR10G4,OR10G7
0,C1=C2COC(O1)OC13OC4=C5OC41CC1C=C4C(C21)C453,,,,,,,,,,
1,CCCC1OCOC23CC4=C5C6=C(O6)C(C)=C2CC5C413,,,,,,,,,,
2,CCC(C)COC,-4.234,-4.411,-4.137,-4.257,-4.227,-4.349,-3.707,-3.865,-3.991,-3.876
3,CC=CC(C)=O,-4.03,-4.636,-4.059,-3.929,-4.31,-4.184,-3.783,-3.794,-3.846,-3.735
4,CCC(=C=O)OC,-4.077,-4.208,-3.838,-3.984,-4.208,-4.251,-4.283,-3.84,-3.842,-3.633
5,CCCCCOC(O)(O)CC,-5.395,-5.932,-4.958,-5.414,-4.886,-4.928,-4.77,-5.111,-5.379,-5.425
6,CC(=O)C(O)(SOC(C)O)C(C)(C)O,-5.73,-5.961,-5.79,-5.375,-4.386,-5.221,-5.828,-5.66,-5.618,-5.21
7,CCCCCC(C)=O,-4.721,-5.084,-4.799,-4.552,-4.563,-4.81,-4.212,-4.191,-4.418,-4.361
8,CCCC(C)C(=O)C(C)=O,-5.619,-5.886,-5.488,-5.305,-5.191,-5.472,-5.095,-5.044,-5.538,-4.974
9,CCC(O)OC(O)O,-4.73,-4.964,-4.393,-4.546,-4.637,-4.645,-4.141,-4.395,-4.76,-4.488
10,CCCO,-3.125,-3.227,-3.009,-2.85,-3.094,-3.214,-2.985,-3.201,-3.232,-3.228
11,C=C(CC)CC(=O)O,-5.238,-5.47,-4.776,-4.911,-4.747,-5.076,-4.472,-4.593,-4.712,-4.757
12,CSCC(=O)O,-3.66,-3.859,-3.359,-3.475,-3.293,-3.563,-3.447,-3.629,-3.646,-3.473
13,CCOC,-2.839,-2.998,-2.779,-2.579,-2.758,-2.93,-2.667,-2.886,-2.579,-2.51
14,CCOC1=C(C)OC2=C(C=C1)C(C)(C)C2OC,-5.402,-5.348,-5.146,-4.417,-1.911,-4.302,-5.258,-3.027,-5.025,-5.304
15,CC1CCCC(C)C2(CC(=O)CCO2)C(=O)CC1,-5.295,-6.095,-5.907,-4.06,-2.844,-2.953,-5.305,-3.103,-5.888,-5.586
16,CCC=CC(OC(C)OC)OC1(OC)C(=O)OCC1C,-6.618,-6.775,-7.037,-6.822,-2.974,-5.255,-6.537,-4.894,-6.707,-6.396
17,CCC=C(C)OCCC(C)OCCC,-5.685,-5.979,-5.483,-5.508,-4.662,-5.604,-5.174,-5.248,-5.426,-5.364
18,CCC(O)OC(C)COC,-5.009,-5.052,-4.518,-4.853,-4.066,-4.844,-4.484,-4.849,-4.832,-4.684
19,CC1CC2OC3CCOCCC(O)C(C)(COO3)C2O1,-3.544,-1.959,-5.015,-3.222,0.965,-1.903,-5.102,-1.569,-5.214,-4.951
20,C=C(OC(O)=C(OO)C(C)C)C(=O)C(C)C,-7.422,-6.935,-6.534,-6.484,-5.421,-6.222,-6.298,-6.095,-6.288,-6.336
21,CC(C)=C(C)c1oc(=O)oc1C#N,-6.315,-5.898,-5.943,-6.311,-5.479,-5.967,-5.802,-5.217,-6.08,-6.442
22,CCC1COC2(CO)C=C(OCCO1)C2C,-4.833,-5.149,-5.302,-5.013,-2.14,-3.876,-4.997,-4.307,-5.01,-4.983
23,CC1=C(C(O)(O)C(C)(C)OO)OC1=CO,-6.63,-6.592,-6.368,-6.337,-5.968,-5.648,-6.133,-5.988,-6.205,-6.159
24,C=C(C=O)OC(C)CCC,-5.117,-5.408,-4.958,-5.257,-4.576,-5.214,-4.846,-4.851,-4.923,-5.008
25,CCCC(O)OC(=O)CCCC(=O)CC,-6.372,-6.732,-6.102,-6.221,-5.285,-5.629,-5.688,-5.809,-5.763,-5.853
26,CC(=C1OC(C)CC1C)C(C)OC(C)OC(C)O,-7.546,-7.921,-7.494,-6.49,-4.488,-5.549,-7.094,-5.516,-6.869,-7.149
27,CC(O)(OC=O)OC1CO1,-5.22,-5.132,-4.745,-5.181,-4.57,-4.602,-4.741,-4.727,-4.785,-4.809
28,COC(=O)C=C(C)C,-4.825,-5.099,-4.547,-4.764,-4.871,-4.931,-4.302,-4.327,-4.361,-4.268
29,CC=C(OCC)OCOC(=O)O,-5.386,-6.091,-5.105,-5.343,-4.945,-5.134,-5.026,-5.381,-5.262,-5.164
30,CC=CC=C1COC1CC(=O)O,-5.816,-6.34,-5.747,-5.818,-5.49,-5.785,-5.489,-5.557,-5.561,-5.709
31,C=C(C)C=C(C)C=CC,-5.451,-5.449,-5.154,-4.934,-4.976,-5.452,-4.788,-4.537,-4.766,-4.932
32,CCCCC(C)C(=O)NCC,-5.621,-5.858,-5.435,-5.459,-5.186,-5.598,-5.038,-5.509,-5.375,-5.427
33,COC1(O)CC=CC(=O)OC1=O,-4.717,-4.867,-4.272,-4.632,-3.708,-4.1,-4.154,-4.896,-4.463,-4.173
34,C=COC(=O)OC,-4.028,-4.406,-3.707,-3.99,-3.709,-3.912,-3.76,-3.876,-3.982,-3.808
35,CCC(C=O)C(C)(CC)C(O)OC,-5.68,-5.799,-5.496,-5.573,-4.739,-5.904,-5.408,-5.475,-5.784,-5.511
36,CC(=O)OCC1(C(C)(O)O)CC1,-5.859,-6.385,-5.832,-5.569,-4.797,-5.754,-5.331,-5.767,-5.468,-5.759
37,CC=C(C)CCCC(C)C(=O)O,-6.216,-6.744,-5.692,-5.925,-5.709,-5.714,-5.706,-5.438,-5.515,-5.761
38,CC12CC(=C=O)C=COC3=C(O1)C(C2)O3,-5.146,-5.205,-5.465,-5.095,-3.298,-4.174,-5.143,-5.014,-5.611,-5.131
39,CCC1CC(C)C(C)(CC)CCO1,-4.286,-3.983,-4.469,-4.339,-2.881,-3.448,-4.345,-4.319,-4.474,-4.051
40,[CH2-][C](CC)C(C)CC,-4.964,-5.022,-4.928,-4.845,-5.095,-5.371,-4.703,-4.336,-4.248,-4.71
41,CCCOC1=C(C=O)C1SC,-4.917,-5.101,-5.021,-5.197,-4.379,-4.959,-4.695,-4.829,-4.967,-4.799
42,CC(CCO)C1(N)C(O)OC2=C(C2)C1O,-5.919,-6.361,-6.664,-6.567,-5.145,-4.41,-6.045,-6.05,-6.679,-6.239
43,CC=CCC(=O)CC,-4.741,-5.02,-4.788,-4.516,-4.626,-4.888,-4.225,-4.29,-4.49,-4.37
44,C=C1C(C(C)(O)OCCC)=C2C=C(O)C1C2,,,,,,,,,,
45,C=CC=C(O)C(O)=C=C(C)CC,-6.138,-5.812,-5.846,-5.698,-5.232,-5.6,-5.365,-5.09,-5.636,-5.621
46,C=CC1=C2OC3C=C1C(O)(OCOC3)C2=O,-5.961,-4.006,-6.043,-5.588,-3.34,-3.593,-5.731,-5.446,-5.983,-5.955
47,CC(=O)OC(=O)C(C)C,-5.254,-5.56,-5.182,-5.156,-5.045,-5.354,-4.628,-4.717,-4.948,-4.715
48,CCCOC(=O)C=COC(C)(O)O,-5.668,-6.195,-5.358,-5.264,-4.595,-5.246,-5.416,-5.713,-5.54,-5.335
49,CC(O)C(C)OC1=COCC=C(O)OC=C1,-4.981,-5.352,-5.13,-5.058,-3.701,-4.006,-4.783,-4.787,-4.649,-4.81
50,O=C1OCCCC(O)C(O)OC1=O,-4.842,-4.704,-4.216,-4.556,-2.987,-3.636,-4.386,-4.907,-4.669,-4.363
51,CCC(OC)C(C)C,-4.467,-4.629,-4.478,-4.607,-4.767,-4.816,-4.014,-4.205,-4.306,-4.33
52,O=C1C2c3oc4c5c(c2c2c4c3-2)C2C(=C3C4=C3C4)OC152,,,,,,,,,,
53,CCC(C)C(S)=C(C)C(=O)C=C(OC)C(C)=O,-6.844,-6.79,-6.693,-6.306,-4.208,-5.606,-6.104,-5.255,-6.285,-6.205
54,CCOC=C[C-](C)CS,-4.304,-4.804,-4.529,-4.23,-4.204,-4.308,-4.137,-4.121,-4.27,-4.108
55,CCC(=O)O,-3.709,-4.161,-3.48,-3.46,-3.619,-3.769,-3.406,-3.727,-3.681,-3.63
56,CCOCCCC(C)COCCCC(C)C,-6.002,-6.634,-6.182,-5.595,-3.799,-5.746,-5.472,-5.079,-5.347,-5.67
57,CCCC(O)C(O)(C=O)C(C)(C)O,-5.705,-5.415,-5.481,-5.844,-4.28,-4.937,-5.566,-5.716,-5.803,-5.778
58,CCC(=O)CCC(=O)OC=O,-5.302,-5.932,-5.014,-5.669,-5.13,-5.124,-4.96,-5.204,-4.816,-4.819
59,CC(O)OC(C)C(C)OC(C)CCC(=O)O,-6.483,-7.041,-6.448,-5.91,-4.779,-5.752,-6.02,-5.538,-6.039,-6.21
60,CC1=CC(=O)OCC1C,-6.075,-5.489,-5.389,-5.722,-5.132,-5.443,-5.213,-4.984,-5.338,-5.403
61,CCCCOCC,-4.148,-4.332,-3.925,-3.887,-3.981,-4.153,-3.793,-3.707,-3.849,-3.691
62,COC(CC(C)C)OCCOC(C)C(C)C,-6.33,-6.811,-6.02,-6.096,-3.892,-6.061,-5.526,-5.032,-5.752,-5.588
63,CC(=O)OOCC(C)C=CCC(C)O,-5.893,-6.92,-6.206,-5.805,-4.663,-5.578,-5.66,-5.919,-5.608,-5.732
64,CC(=O)OCC(C)(C)O,-5.107,-5.276,-4.948,-5.137,-4.407,-5.027,-4.549,-4.923,-4.766,-4.62
65,CNCCCCCCCCC1(C)CC(=O)CCC1C,-7.402,-7.325,-7.188,-5.878,-3.436,,-6.662,-6.026,-6.888,-7.153
66,CC1CC1(C)O,-4.535,-4.399,-4.359,-3.971,-4.479,-4.215,-3.664,-4.197,-4.057,-4.025
67,C1=C2C3=C4C1=C1C5=C6C1C1=C4C3=C(O5)C26C2=C1C1=C2C1,,,,,,,,,,
68,CC(O)C(C)(C)C(C)(C)C,-5.817,-4.969,-5.38,-5.053,-4.433,-5.649,-4.963,-5.093,-5.519,-5.379
69,CCC(O)C(=O)C1CC2C3(CC3)OC(C)C(C)(C)C12C,-7.462,-1.839,-8.185,-5.922,-3.384,-0.728,-8.296,-5.304,-7.914,-7.996
70,CSC[CH-]C1CC(C(C)O)OC(O)=C1O,-6.178,-6.6,-6.336,-5.741,-4.878,-4.936,-5.899,-5.614,-6.439,-5.916
71,CCCOOC(=O)OC1=CC=CC(=O)C1=O,-6.975,-7.699,-6.454,-7.08,-5.442,-6.613,-6.294,-6.459,-6.319,-6.164
72,C=C(C)OCC(C)(C)[CH-]CCO,-5.237,-5.789,-5.662,-5.476,-4.71,-5.421,-5.283,-5.019,-5.586,-5.105
73,CCCCC(C)(OCC=O)C(OC(=O)CCC)C(C)=O,-6.243,-6.286,-6.856,-6.128,-4.321,-5.207,-6.534,-5.526,-5.945,-6.124
74,CCCOC(OC)C(=O)OC=C(C)C,-5.88,-5.928,-5.441,-5.764,-5.086,-5.681,-5.124,-5.683,-5.211,-5.364
75,CC(C=O)=C(O)S,-4.47,-4.394,-3.865,-4.171,-4.495,-4.595,-3.636,-4.08,-4.161,-3.996
76,COC12C3=C4C=C5OC1(OCOCCCC43C)C51CN12,-3.381,-0.42,-5.186,-3.744,0.251,-0.384,-5.685,-1.466,-4.612,-5.527
77,CCCC(OOCC)OC(C=CC=C1C2=COC12)O[Na],,,,,,,,,,
78,C=C(O)OC(=O)C(=O)OCC,-5.538,-5.589,-5.028,-5.185,-4.798,-5.116,-5.144,-5.404,-5.141,-5.106
79,CC1=CC2(CC=O)C(C)=C2C1,-6.285,-6.444,-6.23,-6.164,-6.371,-6.418,-5.945,-5.307,-6.017,-6.014
80,CCCC(O)(O)C(C)(C)CC,-5.76,-6.145,-5.496,-5.901,-5.502,-5.351,-5.144,-5.551,-5.821,-5.798
