,SMILES,OR1L3,OR2G2,OR2J2,OR2M4,OR2T10,OR2T34,OR5AC2,OR10G3,OR10G4,OR10G7
0,COC1=C(C=CC(=C1)C=O)O,-5.508,-6.165,-5.562,-5.886,-5.169,-5.187,-5.365,-5.779,-5.786,-5.855
1,COC1=C(C=CC(=C1)C=O)O,-5.463,-6.126,-5.558,-5.873,-5.199,-5.208,-5.409,-5.813,-5.835,-5.808
2,COC1=C(C=CC(=C1)C=O)O,-5.485,-6.12,-5.526,-5.882,-5.197,-5.185,-5.446,-5.797,-5.797,-5.884
3,COC1=C(C=CC(=C1)C=O)O,-5.53,-6.116,-5.543,-5.857,-5.173,-5.228,-5.338,-5.782,-5.769,-5.888
4,COC1=C(C=CC(=C1)C=O)O,-5.503,-6.133,-5.529,-5.851,-5.123,-5.11,-5.428,-5.805,-5.806,-5.864
5,COC1=C(C=CC(=C1)C=O)O,-5.515,-6.122,-5.59,-5.879,-5.173,-5.195,-5.347,-5.741,-5.81,-5.879
6,COC1=C(C=CC(=C1)C=O)O,-5.501,-6.121,-5.626,-5.851,-5.114,-5.213,-5.402,-5.81,-5.789,-5.855
7,COC1=C(C=CC(=C1)C=O)O,-5.479,-6.129,-5.584,-5.885,-5.176,-5.228,-5.409,-5.788,-5.792,-5.856
8,COC1=C(C=CC(=C1)C=O)O,-5.475,-6.115,-5.575,-5.876,-5.157,-5.204,-5.431,-5.787,-5.74,-5.879
9,COC1=C(C=CC(=C1)C=O)O,-5.489,-6.131,-5.547,-5.877,-5.086,-5.207,-5.414,-5.742,-5.814,-5.863
10,COC1=C(C=CC(=C1)C=O)O,-5.471,-6.121,-5.532,-5.882,-5.152,-5.194,-5.418,-5.795,-5.738,-5.896
11,COC1=C(C=CC(=C1)C=O)O,-5.499,-6.141,-5.575,-5.874,-5.122,-5.207,-5.365,-5.786,-5.801,-5.887
12,COC1=C(C=CC(=C1)C=O)O,-5.487,-6.139,-5.572,-5.896,-5.117,-5.216,-5.366,-5.787,-5.812,-5.84
13,COC1=C(C=CC(=C1)C=O)O,-5.47,-6.119,-5.558,-5.772,-5.151,-5.169,-5.334,-5.772,-5.77,-5.871
14,COC1=C(C=CC(=C1)C=O)O,-5.488,-6.119,-5.548,-5.873,-5.189,-5.214,-5.262,-5.775,-5.803,-5.858
15,COC1=C(C=CC(=C1)C=O)O,-5.482,-6.133,-5.613,-5.873,-5.191,-5.2,-5.423,-5.765,-5.831,-5.865
16,COC1=C(C=CC(=C1)C=O)O,-5.476,-6.114,-5.6,-5.873,-5.19,-5.204,-5.4,-5.804,-5.813,-5.855
17,COC1=C(C=CC(=C1)C=O)O,-5.488,-6.123,-5.579,-5.89,-5.179,-5.221,-5.364,-5.809,-5.735,-5.871
18,COC1=C(C=CC(=C1)C=O)O,-5.485,-6.129,-5.616,-5.888,-5.172,-5.193,-5.337,-5.79,-5.807,-5.861
19,COC1=C(C=CC(=C1)C=O)O,-5.514,-6.141,-5.571,-5.879,-5.157,-5.179,-5.361,-5.745,-5.786,-5.885
