SMILES,R(x),is_valid,alcoholic,aldehydic,alliaceous,almond,amber,animal,anisic,apple,apricot,aromatic,balsamic,banana,beefy,bergamot,berry,bitter,black currant,brandy,burnt,buttery,cabbage,camphoreous,caramellic,cedar,celery,chamomile,cheesy,cherry,chocolate,cinnamon,citrus,clean,clove,cocoa,coconut,coffee,cognac,cooked,cooling,cortex,coumarinic,creamy,cucumber,dairy,dry,earthy,ethereal,fatty,fermented,fishy,floral,fresh,fruit skin,fruity,garlic,gassy,geranium,grape,grapefruit,grassy,green,hawthorn,hay,hazelnut,herbal,honey,hyacinth,jasmin,juicy,ketonic,lactonic,lavender,leafy,leathery,lemon,lily,malty,meaty,medicinal,melon,metallic,milky,mint,muguet,mushroom,musk,musty,natural,nutty,odorless,oily,onion,orange,orangeflower,orris,ozone,peach,pear,phenolic,pine,pineapple,plum,popcorn,potato,powdery,pungent,radish,raspberry,ripe,roasted,rose,rummy,sandalwood,savory,sharp,smoky,soapy,solvent,sour,spicy,strawberry,sulfurous,sweaty,sweet,tea,terpenic,tobacco,tomato,tropical,vanilla,vegetable,vetiver,violet,warm,waxy,weedy,winey,woody
CC1OCC2CC1CCC1CC(O)C(C1)O2,,False,0.0440193,0.07592083,0.1715349,0.14575808,0.09258215,0.292261,0.09246754,0.04009502,0.073291026,0.14795418,0.14304705,0.04729923,0.20976403,0.047302652,0.13528164,0.10402365,0.13863096,0.07043456,0.3506025,0.25157934,0.10301562,0.1308036,0.37368965,0.04625476,0.14230612,0.046541564,0.19078828,0.087715745,0.16702603,0.08649449,0.0791594,0.12212104,0.07898073,0.17374808,0.22463378,0.27373552,0.039333962,0.16587204,0.16148207,0.068376735,0.30312252,0.20373145,0.018381624,0.16822925,0.17947417,0.18177924,0.12504253,0.17755754,0.1028128,0.20719169,0.14426626,0.11769213,0.09427002,0.30459735,0.19883019,0.092975624,0.047895942,0.09700047,0.076198205,0.106804356,0.14926462,0.076324075,0.13753763,0.13637574,0.17045619,0.10482817,0.042941015,0.07957901,0.036545064,0.16324355,0.1254834,0.04558161,0.048790537,0.09123761,0.043306395,0.027894018,0.077073954,0.37773174,0.12234761,0.0473961,0.13717923,0.20993386,0.25053936,0.021032002,0.15284778,0.1967554,0.27209368,0.13162695,0.43533352,0.22622462,0.1351339,0.13262603,0.04395309,0.093479656,0.084771216,0.06324191,0.112790495,0.035259854,0.15659906,0.05525563,0.11768083,0.06244365,0.27697393,0.18531813,0.1786764,0.13893391,0.1393497,0.059916466,0.09627777,0.54564744,0.07384325,0.059525568,0.0495859,0.2802607,0.14248468,0.18694396,0.07966405,0.21937636,0.11467582,0.18058035,0.1338557,0.30113342,0.070285946,0.45147938,0.122215986,0.05756466,0.22915833,0.14473818,0.15883495,0.12383382,0.19915782,0.08403408,0.04075064,0.11522596,0.0900517,0.080133304,0.07726314,0.27370322
CCC(C)C=CC=CC=CC=O,0.56,True,0.07867286,0.45860338,0.08735375,0.119629145,0.043214876,0.10470628,0.1121678,0.21198207,0.10093332,0.07898447,0.08655509,0.12477219,0.06864085,0.08692729,0.13443793,0.075801425,0.09457038,0.11188731,0.10896979,0.1862736,0.12963387,0.06177976,0.13747923,0.058382474,0.11392251,0.06625821,0.31472775,0.11711522,0.10544165,0.14838137,0.42818338,0.14063053,0.07157044,0.12681745,0.17342544,0.07139945,0.1166728,0.15343669,0.07022294,0.21664044,0.096729204,0.24816678,0.40929264,0.2975328,0.1386158,0.3578462,0.14439736,0.61518914,0.13859814,0.26274532,0.261478,0.46607065,0.18999107,0.5866621,0.094651446,0.21545175,0.17553864,0.14951153,0.11277117,0.30518177,0.778611,0.0522095,0.12452802,0.09193397,0.37272778,0.11215446,0.08211825,0.17180577,0.21902405,0.21738762,0.16363747,0.07230383,0.32492158,0.061793946,0.16375029,0.09554098,0.11532257,0.18693861,0.074906595,0.4240231,0.37382847,0.20709763,0.107614055,0.08181531,0.3255852,0.07219189,0.18963318,0.11357659,0.3306001,0.055255618,0.3413734,0.1234091,0.22968775,0.119175516,0.110161155,0.17893104,0.14320174,0.24803558,0.0916877,0.049579427,0.20531003,0.11748947,0.07992989,0.086184464,0.068758264,0.34603932,0.17704485,0.06055194,0.12527747,0.1266857,0.09194905,0.1010636,0.04204226,0.12643793,0.25296336,0.047204956,0.14920743,0.06726943,0.14566432,0.3076663,0.09960048,0.06144726,0.15451087,0.3738392,0.07516881,0.06809276,0.09450774,0.15654272,0.35002378,0.058175303,0.4698838,0.06666773,0.24360064,0.13586427,0.35658452,0.14460796,0.099603154,0.17520402
C=CC(=O)OCC(O)C(C)(C)CC,0.71,True,0.10638009,0.10033418,0.070426516,0.10078537,0.107051745,0.14951979,0.10186629,0.2131065,0.15859953,0.12977366,0.1818495,0.16155109,0.06281161,0.092599094,0.29421678,0.12570128,0.14964466,0.16191146,0.19006504,0.36426693,0.091370404,0.123236656,0.4272677,0.06209652,0.12996912,0.12538214,0.2759968,0.11781729,0.15556669,0.11146846,0.19426441,0.11958794,0.08963408,0.14094935,0.16741167,0.1421804,0.10126696,0.12541999,0.16348378,0.11007359,0.14509454,0.31264585,0.030012857,0.29788494,0.19115737,0.24392015,0.25001788,0.30577302,0.20021209,0.06681154,0.34278023,0.29360664,0.16212538,0.69909614,0.0371236,0.09986035,0.07838764,0.27808514,0.12925623,0.09153572,0.28514785,0.08633978,0.1279526,0.08426295,0.3356468,0.18338436,0.05279383,0.21701398,0.116399236,0.15612073,0.2323346,0.07863433,0.0819865,0.091615334,0.06972703,0.09438885,0.08771925,0.15447764,0.09615757,0.109544106,0.13484709,0.29401976,0.23168626,0.0648492,0.10171869,0.13308229,0.20269236,0.1471729,0.1945306,0.18197562,0.2564231,0.055389624,0.09639513,0.07935253,0.1254825,0.07930881,0.2094538,0.10116059,0.12981509,0.074515514,0.25372213,0.18605219,0.060424205,0.09570925,0.19268276,0.16703708,0.0951248,0.15940012,0.1522698,0.16301998,0.17034994,0.19807377,0.052093152,0.13624576,0.18556295,0.06254094,0.10019565,0.15052955,0.244771,0.20870183,0.21062455,0.16480018,0.19767056,0.5294664,0.11643478,0.03841077,0.14705195,0.06795375,0.32153276,0.1442493,0.14255305,0.0842477,0.086798966,0.15205131,0.18817128,0.12585436,0.26985666,0.25211874
CCCCC(CC)C(=O)SC,0.57,True,0.1183419,0.111650765,0.41449812,0.11155384,0.06149397,0.15733705,0.10688041,0.103716776,0.12505798,0.10167414,0.08629645,0.06841055,0.27384397,0.06445095,0.16939057,0.1624821,0.35152304,0.08245624,0.3428188,0.14863868,0.30732623,0.112989716,0.13692318,0.07604966,0.17369042,0.085246935,0.47859105,0.069665805,0.19202794,0.08377173,0.25978655,0.14052297,0.07417773,0.21122974,0.11387732,0.32708138,0.07642087,0.38743874,0.17890568,0.1408757,0.07220781,0.252153,0.08218425,0.27844658,0.13902207,0.33411467,0.15712513,0.28599593,0.18937601,0.26465827,0.26155725,0.30696386,0.1632164,0.48018718,0.44133863,0.20915398,0.10117896,0.20075133,0.42532876,0.2018411,0.48466012,0.08848339,0.07439208,0.17168666,0.31416044,0.12752783,0.08109261,0.108252786,0.13739769,0.15299384,0.12135366,0.090439,0.16908038,0.11078669,0.095890634,0.07223667,0.1217067,0.60596097,0.10918835,0.12623219,0.31146735,0.20019153,0.21715556,0.071841694,0.28417915,0.09113383,0.2339945,0.12455546,0.30298907,0.13628693,0.21250637,0.53152204,0.1286191,0.085047476,0.09601287,0.11521251,0.17395543,0.09786982,0.14107029,0.0826082,0.22729859,0.104677625,0.17707595,0.35208568,0.07187335,0.35503814,0.25798762,0.08166578,0.27096644,0.4914687,0.13584134,0.09496687,0.06608528,0.46089906,0.2042502,0.18951859,0.11003501,0.17725125,0.19043167,0.30429944,0.14509061,0.7222172,0.2092892,0.39408165,0.10255933,0.09545419,0.09751352,0.27773932,0.49493146,0.08079349,0.5172292,0.10181806,0.10192893,0.07559442,0.1527783,0.11464495,0.11469938,0.20086662
CCC(C)OC[SH](C)CC,0.65,True,0.19010112,0.074665725,0.38815382,0.14994413,0.07020204,0.19033729,0.12901975,0.09026057,0.11688206,0.1389548,0.13126628,0.06552822,0.28108835,0.061714396,0.17385618,0.17701414,0.26303545,0.06771348,0.32056633,0.1654977,0.23882337,0.12683971,0.16512907,0.07512336,0.152563,0.07000808,0.37221763,0.08941977,0.20927475,0.07043917,0.17350538,0.12545036,0.08209525,0.2626531,0.12810257,0.30244777,0.102887906,0.32240105,0.17339878,0.14717746,0.07007987,0.24904983,0.048889864,0.20345572,0.15447012,0.26990286,0.20361178,0.2207301,0.23830383,0.30540895,0.24149595,0.21527587,0.15436994,0.3935098,0.38547903,0.16522846,0.07391846,0.20552585,0.27201334,0.14882381,0.33183298,0.09267499,0.08248948,0.17426467,0.22774732,0.09836208,0.08142346,0.10346229,0.13282621,0.117132,0.11088088,0.059611518,0.115887314,0.12308914,0.07195726,0.08374743,0.15651073,0.6015442,0.12447842,0.10325024,0.23151876,0.192638,0.18889166,0.06111647,0.18706517,0.08174307,0.29130986,0.117827035,0.3240738,0.18498372,0.23310019,0.3966542,0.10749048,0.08703104,0.08036266,0.08105931,0.15628035,0.06688162,0.22680956,0.07868485,0.18303613,0.08124306,0.16758294,0.26970297,0.08957743,0.39358598,0.22259702,0.08541401,0.2589866,0.5104894,0.1439957,0.09101627,0.06276713,0.44238487,0.20450108,0.26294908,0.08775986,0.21604782,0.1583445,0.26894477,0.17697068,0.65782446,0.14541015,0.47289485,0.08892389,0.07602465,0.11663288,0.22576556,0.3575119,0.13441375,0.3888268,0.10613152,0.06595996,0.08863242,0.108498394,0.093665004,0.13768576,0.22453746
C=NC(CCCC)=C(C)OCC,0.7,True,0.1360849,0.16181025,0.1519589,0.1482182,0.08566961,0.18628182,0.13104856,0.11471971,0.11292304,0.11935852,0.11539138,0.08343635,0.14980528,0.08518331,0.16817144,0.17255095,0.22411717,0.097762786,0.2520177,0.25255123,0.15152004,0.13304204,0.27241078,0.06318773,0.2083022,0.07998798,0.34726322,0.093086325,0.21362615,0.12219673,0.27151504,0.11531729,0.1167974,0.22949746,0.1924299,0.17869365,0.090518445,0.21898825,0.20378573,0.14123827,0.14080255,0.29100338,0.071881,0.31129268,0.18118636,0.34245154,0.17238869,0.302256,0.21047679,0.19535233,0.30096224,0.277216,0.16172658,0.44080442,0.13437077,0.12743789,0.11138115,0.18803255,0.21216884,0.20625079,0.41968045,0.092432775,0.107566446,0.15611094,0.36910474,0.13035464,0.07379576,0.1981109,0.1155958,0.20381579,0.18724649,0.0869051,0.16205016,0.11721014,0.10786176,0.13259047,0.14470012,0.3743073,0.10119104,0.1435115,0.26424864,0.26108423,0.2498031,0.10331851,0.2071262,0.113732904,0.26948383,0.14821243,0.35658264,0.18077049,0.24041985,0.19624758,0.12501597,0.12038653,0.10723275,0.121833704,0.19457562,0.085806124,0.17717923,0.06140005,0.16418338,0.12259341,0.16581519,0.20031972,0.11202022,0.26065925,0.18078575,0.1180953,0.14105661,0.38641074,0.12792175,0.11587627,0.0670133,0.2526711,0.18606521,0.13749541,0.121093966,0.1432376,0.18388547,0.29807875,0.15180673,0.23770076,0.15973064,0.41334575,0.12781179,0.0786,0.18506439,0.16352162,0.31407717,0.13794196,0.3205456,0.09317175,0.109420955,0.13016486,0.16286148,0.12692505,0.11856888,0.26142052
CCCC(S)C[SH](C)OC,0.51,True,0.054380484,0.036252253,0.4644685,0.09912848,0.03708812,0.1345935,0.085384876,0.031553198,0.060926314,0.085289024,0.06950646,0.021111209,0.345532,0.02193181,0.101765715,0.14715485,0.16366023,0.029493138,0.4077193,0.07437058,0.29384416,0.06645691,0.12503219,0.033143483,0.090568624,0.03365837,0.31574044,0.037645966,0.14893827,0.03125611,0.11104296,0.09591414,0.03921125,0.1680944,0.088911645,0.43158275,0.027260883,0.39922366,0.10787597,0.0719657,0.048402388,0.16161156,0.026178876,0.13099054,0.098762296,0.23810638,0.07537099,0.2028136,0.091459535,0.2733639,0.11229653,0.17483926,0.086499065,0.23437229,0.5639786,0.14720848,0.04505939,0.112463616,0.15917195,0.104633234,0.25265792,0.064646855,0.045966428,0.1768586,0.13326512,0.06332736,0.044115923,0.042949423,0.07023521,0.06744603,0.046939965,0.032657854,0.06263412,0.086659916,0.034304876,0.029423866,0.055389747,0.72551376,0.100150555,0.041362517,0.19452895,0.150061,0.13295749,0.018832289,0.20039316,0.038718063,0.22070415,0.06234957,0.3242827,0.15215676,0.12964773,0.53177,0.054277245,0.05705712,0.038844366,0.04830138,0.08166626,0.033256467,0.14591841,0.03274983,0.12917538,0.047741063,0.19554022,0.27836463,0.045482203,0.38162333,0.24490096,0.028970849,0.20679656,0.649874,0.093333706,0.042815972,0.02661363,0.5659234,0.11505616,0.2893979,0.042058557,0.13374437,0.07716335,0.16578053,0.10009926,0.78240824,0.07909914,0.36772108,0.054095425,0.06854845,0.073940724,0.23237352,0.2041734,0.062367927,0.42564857,0.05868036,0.031646952,0.039634794,0.067588754,0.041710634,0.060811494,0.1447587
C=CC1OC=CCCO1,,False,0.0798035,0.15343739,0.11338553,0.24102408,0.1808253,0.33245924,0.19682808,0.12822598,0.14958589,0.2645127,0.25150052,0.19860485,0.107563205,0.096265085,0.28495046,0.14529426,0.14477931,0.15442248,0.3838117,0.47653046,0.12479045,0.1683767,0.6036098,0.10829737,0.21822603,0.12908325,0.19740625,0.2066444,0.20185019,0.23264033,0.13068612,0.18442716,0.22450803,0.20451863,0.50000066,0.24915043,0.101888865,0.14028466,0.14792143,0.1430598,0.45879126,0.41676733,0.06492162,0.2935387,0.2868989,0.19162314,0.30691347,0.3328256,0.16397916,0.14433652,0.30743966,0.22275509,0.15302353,0.58543736,0.08793943,0.1339551,0.12033444,0.20589033,0.07573204,0.1277408,0.32888824,0.15120427,0.32132602,0.1268808,0.34108952,0.25964725,0.086183995,0.21675605,0.09968146,0.26151323,0.3535447,0.09516057,0.09109844,0.114816725,0.06617967,0.08717561,0.12594089,0.15929829,0.15596654,0.1159614,0.21839364,0.30991784,0.26130632,0.043990295,0.16007899,0.31830278,0.32808626,0.17677438,0.4242498,0.14261024,0.23159778,0.08935647,0.16762722,0.16674872,0.16346878,0.106185764,0.23592633,0.12092863,0.24126942,0.077317104,0.24535021,0.15992853,0.13759913,0.09443103,0.33233136,0.21946442,0.14314792,0.15772676,0.115568586,0.3251672,0.10690049,0.18746078,0.079969496,0.1722436,0.24125423,0.14369985,0.16320176,0.21077299,0.20601106,0.3689629,0.23886979,0.13324763,0.1327911,0.66331273,0.23954497,0.073682845,0.31271076,0.10763089,0.21296388,0.23291725,0.18154024,0.124397516,0.121351585,0.26029277,0.20977852,0.16785656,0.24751219,0.41548684
CCC=C(C)C1C(=O)C1CC,,False,0.112005405,0.25984284,0.08244981,0.18311195,0.13936388,0.23071568,0.20132564,0.12131353,0.107580155,0.1431101,0.15384333,0.075837374,0.09475776,0.12204645,0.23095997,0.18691616,0.14856958,0.07720204,0.23337273,0.19100538,0.09244974,0.22523937,0.30279532,0.10058333,0.2609485,0.08883938,0.18174285,0.10314909,0.21370456,0.17647786,0.29499698,0.16929612,0.16679768,0.24399345,0.24665682,0.14002936,0.06503888,0.14930522,0.2464082,0.19383758,0.20823325,0.26196644,0.06324143,0.24188814,0.2252101,0.3656694,0.14874667,0.26750538,0.1474024,0.15819973,0.4240688,0.3502305,0.13239722,0.40485883,0.07416136,0.09501682,0.1747613,0.16323933,0.15655626,0.20784293,0.45293215,0.14232405,0.16135529,0.15155287,0.5200373,0.15214297,0.14033292,0.2588127,0.087612085,0.21256791,0.21353096,0.12387007,0.25662506,0.20262346,0.17883252,0.24683075,0.13286269,0.18580605,0.15955761,0.12006292,0.2510024,0.20582147,0.40816414,0.201098,0.15023856,0.14173208,0.28994766,0.20811863,0.37305266,0.122531734,0.21335787,0.101455286,0.13323784,0.14255145,0.13986313,0.1551787,0.17997429,0.083304904,0.2308555,0.08268335,0.11892524,0.14857797,0.14900896,0.14093758,0.20381775,0.18383314,0.12738363,0.16298664,0.097262464,0.29050982,0.17495684,0.12000452,0.08881057,0.16978662,0.14885196,0.16682634,0.11338607,0.1423646,0.15334843,0.4167619,0.14036076,0.08580351,0.10327104,0.4574834,0.20745663,0.11992179,0.32617968,0.116423234,0.17800191,0.17021392,0.24705161,0.13861567,0.13924007,0.21231118,0.15331778,0.15472233,0.096444026,0.4145085
CC=C(C(C)=O)C1=CC=C1,,False,0.08212359,0.190796,0.09044348,0.2434457,0.17853303,0.25223854,0.28954715,0.2053333,0.14552207,0.2781434,0.3508164,0.16602658,0.08474669,0.15660529,0.43376485,0.22191192,0.13210458,0.118833944,0.30846503,0.25682816,0.10122565,0.18609089,0.41472444,0.12503369,0.24260844,0.17368437,0.119946316,0.26075327,0.21012186,0.3317947,0.21063189,0.20415376,0.2454078,0.21884392,0.32690796,0.1669052,0.07141297,0.13981546,0.17248596,0.22880152,0.39952815,0.3433992,0.057067856,0.2066044,0.2859783,0.25683847,0.20687795,0.25148168,0.14379677,0.104567185,0.5303024,0.2826412,0.16184793,0.610362,0.06211947,0.09863689,0.21378168,0.25128496,0.1321259,0.14738445,0.41297588,0.23193906,0.30660456,0.11250308,0.47843274,0.3667308,0.16194262,0.2644849,0.08340664,0.19494773,0.2223347,0.13572688,0.22393292,0.1683727,0.099980555,0.1731712,0.12822108,0.10106431,0.2376867,0.15973999,0.23879725,0.20787555,0.32928476,0.09301698,0.1415011,0.20276444,0.3166964,0.18361628,0.38857776,0.10037654,0.1913723,0.06551663,0.1672788,0.22126786,0.2001427,0.15022908,0.21621682,0.13212715,0.30020577,0.11632796,0.21373098,0.22460616,0.12954757,0.08962257,0.36123717,0.26985264,0.17186345,0.2519734,0.13634633,0.21912856,0.20247217,0.19259256,0.086984426,0.14625342,0.24649595,0.17642412,0.1360429,0.14780992,0.19147184,0.5059843,0.25416473,0.0634703,0.113196,0.63816905,0.27792674,0.12870006,0.31594405,0.08695412,0.20888676,0.2847543,0.2050564,0.15184316,0.17139612,0.32191,0.19062306,0.20005296,0.19188432,0.45115033
